year,species_code,length,males,females,unsexed
2019,10115,710,66097,508149,0
2021,10115,710,0,0,0
2017,10115,720,0,64434,0
2018,10115,720,30073,117569,0
2019,10115,720,0,172619,0
2021,10115,720,0,133412,0
2017,10115,730,0,96840,0
2018,10115,730,30908,63711,0
2019,10115,730,0,470361,0
2021,10115,730,0,149794,0
2017,10115,740,0,0,0
2018,10115,740,0,202253,0
2019,10115,740,0,276230,0
2021,10115,740,0,174110,0
2017,10115,750,29704,58773,0
2018,10115,750,0,226075,0
2019,10115,750,28950,334291,0
2021,10115,750,32028,155571,0
2017,10115,760,28489,18779,0
2018,10115,760,0,138447,0
2019,10115,760,30245,257815,0
2021,10115,760,0,58195,0
2017,10115,770,0,115051,0
2018,10115,770,31800,0,0
2019,10115,770,26085,136594,0
2021,10115,770,0,188444,0
2017,10115,780,0,0,0
2018,10115,780,0,0,0
2019,10115,780,0,137310,0
2021,10115,780,30291,142812,0
2017,10115,790,0,29471,0
2018,10115,790,0,31721,0
2019,10115,790,0,56923,0
2021,10115,790,0,210966,0
2017,10115,800,0,28750,0
2018,10115,800,0,0,0
2019,10115,800,28627,0,0
2021,10115,800,0,58352,0
2017,10115,810,0,58858,0
2018,10115,810,0,0,0
2019,10115,810,0,60286,0
2021,10115,810,32078,18972,0
2017,10115,820,0,49831,0
2018,10115,820,0,49382,0
2019,10115,820,0,0,0
2021,10115,820,0,85675,0
2017,10115,830,0,0,0
2018,10115,830,0,0,0
2019,10115,830,0,0,0
